2023-02-24 10:54:14.4529||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:18.7636||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:18.7636||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:19.4587||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:19.4587||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:23.7772||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:23.7772||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:24.4748||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:24.4748||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:28.8089||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:28.8089||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:29.4789||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:29.4789||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:33.8214||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:33.8214||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:34.4836||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:34.4836||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:37.4597||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 heartbeat successfully sent |url: |action: 
2023-02-24 10:54:37.4597||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:54:38.2003||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e heartbeat successfully sent |url: |action: 
2023-02-24 10:54:38.2003||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:54:38.8324||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:38.8324||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:39.4951||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:39.4951||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:43.8369||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:43.8369||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:44.5032||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:44.5032||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:48.8467||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:48.8467||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:49.5084||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:49.5084||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:53.8578||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:53.8578||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:54.5189||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:54.5189||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:58.8634||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:58.8634||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:54:59.5305||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:54:59.5305||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:03.8698||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:03.8698||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:04.5528||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:04.5528||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:07.5083||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 heartbeat successfully sent |url: |action: 
2023-02-24 10:55:07.5083||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:95cab1d2 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:55:08.2128||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e heartbeat successfully sent |url: |action: 
2023-02-24 10:55:08.2128||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:24088:df4a307e waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 10:55:08.5062||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Deadline' is being updated. RecurringJob: (Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-02-24T03:42:37.1243084Z;V:2;LastExecution:2023-02-24T03:54:08.4431905Z;NextExecution:2023-02-24T03:55:00.0000000Z;LastJobId:15778;Queue:default;Cron:* * * * *;TimeZoneId:SE Asia Standard Time), Changes: (LastExecution:2023-02-24T03:55:08.4966720Z;NextExecution:2023-02-24T03:56:00.0000000Z;LastJobId:15779), NextExecution: (2/24/2023 3:56:00 AM) |url: |action: 
2023-02-24 10:55:08.5062||DEBUG|Hangfire.Server.RecurringJobScheduler|1 recurring job(s) processed by scheduler. |url: |action: 
2023-02-24 10:55:08.8906||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 10:55:08.8926||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 10:55:09.5672||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
